event_number,clip_name,start,end
001,ESPN_E_App_Logo_Reveal_sfx_1080_23.98fps.mov,00:00:00;00,00:00:04;00
002,rooks_mem_prax_1.mov,00:00:04;00,00:00:13;17
003,rooks_mem_prax_1.mov,00:00:13;17,00:00:17;27
004,rooks_mem_prax_1.mov,00:00:17;27,00:00:26;17
005,rooks_mem_prax_1.mov,00:00:26;17,00:00:29;02
006,rooks_mem_prax_1.mov,00:00:29;02,00:00:37;20
007,rooks_mem_prax_1.mov,00:00:37;20,00:00:40;00
008,rooks_mem_prax_1.mov,00:00:40;00,00:00:42;08
009,open NO BOL 021620.mov,00:00:42;08,00:00:58;24
010,MVI_0266.MP4,00:00:58;24,00:01:00;12
011,rooks_tp1_chicago_scenics_2.mov,00:01:00;12,00:01:01;18
012,rooks_tp1_chicago_scenics_3.mov,00:01:01;18,00:01:01;22
013,rooks_tp2_chicago_scenics.mov,00:01:01;22,00:01:02;13
014,rooks_rj_wired_and_broll_split_021420.mov,00:01:02;13,00:01:04;28
015,MVI_0369.MP4,00:01:04;28,00:01:07;25
016,MVI_4788.MP4,00:01:07;25,00:01:08;03
017,MVI_4984.MP4,00:01:08;03,00:01:11;02
018,MVI_4774.MP4,00:01:11;02,00:01:12;15
019,MVI_0041.MP4,00:01:12;15,00:01:15;26
020,rooks_rising_stars_postgame_presser.mov,00:01:15;26,00:01:17;04
021,GOPR3606.MP4,00:01:17;04,00:01:24;19
022,rooks_nop_por_zion.mov,00:01:24;19,00:01:26;04
023,rooks_nop_por_zion.mov,00:01:26;04,00:01:28;15
024,rooks_mem_lac_ja.mov,00:01:28;15,00:01:31;19
025,phantom_selects_mem_vs_atl_030220_broll_pt2.mov,00:01:31;19,00:01:33;03
026,phantom_selects_mem_vs_atl_030220_broll_pt2.mov,00:01:33;03,00:01:35;00
027,rooks_mem_atl_ja.mov,00:01:35;00,00:01:37;20
028,phantom_selects_nop_vs_dal_030420_broll_pt1.mov,00:01:37;20,00:01:43;11
029,rooks_nickeil_sitdown.mov,00:01:43;11,00:01:46;06
030,rooks_zion_boston_phantom.mov,00:01:46;06,00:01:48;16
031,rooks_200127_nop_bos_zion.mov,00:01:48;16,00:01:50;01
032,rooks_mem_sac_ja.mov,00:01:50;01,00:01:53;03
033,rooks_mem_sac_ja.mov,00:01:53;03,00:01:55;11
034,phantom_selects_mem_vs_bkn_030420_broll_pt2.mov,00:01:55;11,00:02:02;03
035,rooks_jaren_jackson_sitdown.mov,00:02:02;03,00:02:04;13
036,MVI_0295.MP4,00:02:04;13,00:02:07;07
037,rooks_ja_recent_dunks.mov,00:02:07;07,00:02:08;06
038,rooks_nop_gsw_zion.mov,00:02:08;06,00:02:09;25
039,rooks_200303_nop_min_zion.mov,00:02:09;25,00:02:11;00
040,phantom_selects_mem_vs_bkn_030420_broll_pt1.mov,00:02:11;00,00:02:13;06
041,phantom_selects_mem_vs_bkn_030420_broll_pt1.mov,00:02:13;06,00:02:14;11
042,rooks_jamorant_sitdown.mov,00:02:14;11,00:02:17;09
043,phantom_selects_mem_vs_atl_030220_broll_pt1.mov,00:02:17;09,00:02:19;29
044,rooks_jamorant_sitdown.mov,00:02:19;29,00:02:21;16
045,rooks_zion_boston_phantom.mov,00:02:21;16,00:02:25;04
046,phantom_selects_nop_vs_dal_030420_broll_pt1.mov,00:02:25;04,00:02:30;25
047,phantom_selects_nop_vs_dal_030420_broll_pt2.mov,00:02:30;25,00:02:35;06
048,rooks_all_star_zion_sitdown.mov,00:02:35;06,00:02:39;00
049,rooks_zion_boston_phantom.mov,00:02:39;00,00:02:43;12
050,phantom_selects_lal_vs_mem_022920_broll_pt2.mov,00:02:43;12,00:02:47;01
051,phantom_selects_lal_vs_mem_022920_broll_pt1.mov,00:02:47;01,00:02:52;12
052,rooks_staples_scenics.mov,00:02:52;12,00:02:56;17
053,rooks_staples_scenics.mov,00:02:56;17,00:02:58;15
054,rooks_staples_scenics.mov,00:02:58;15,00:03:00;22
055,A134C945_200225B5_CANON.MXF,00:03:00;22,00:03:05;02
056,rooks_mem_vs_lal_tp1.mov,00:03:05;02,00:03:09;04
057,A134C936_200225UZ_CANON.MXF,00:03:09;04,00:03:19;11
058,rooks_mem_vs_lal_tp1.mov,00:03:19;11,00:03:21;04
059,rooks_mem_vs_lal_tp1.mov,00:03:21;04,00:03:22;09
060,rooks_mem_vs_lal_tp1.mov,00:03:22;09,00:03:24;11
061,rooks_mem_vs_lal_tp1.mov,00:03:24;11,00:03:27;12
062,rooks_mem_vs_lal_tp1.mov,00:03:27;12,00:03:31;13
063,A134C964_200225HV_CANON.MXF,00:03:31;13,00:03:34;01
064,A134C969_200225I9_CANON.MXF,00:03:34;01,00:03:38;27
