event_number,clip_name,start,end
001,ESPN_E_App_Logo_Reveal_sfx_1080_23.98fps.mov,00:00:00;00,00:00:04;28
002,amira_selects_mem_vs_mia_102319broll_part2.mov,00:00:04;28,00:00:05;14
003,rooks_coby_vs_lal_bts.mov,00:00:05;14,00:00:06;04
004,MVI_3011.MP4,00:00:06;04,00:00:06;20
005,phantom_selects_CHI_NYK_broll_pt2_102919.mov,00:00:06;20,00:00:07;14
006,rooks_191123_atl_tor_hunter.mov,00:00:07;14,00:00:08;06
007,rooks_191117_atl_lak_hunter_reddish.mov,00:00:08;06,00:00:09;20
008,rooks_191123_atl_tor_hunter.mov,00:00:09;20,00:00:11;10
009,rooks_191117_atl_lak_hunter_reddish.mov,00:00:11;10,00:00:12;26
010,rooks_191117_atl_lak_hunter_reddish.mov,00:00:12;26,00:00:13;26
011,rooks_191117_atl_lak_hunter_reddish.mov,00:00:13;26,00:00:15;02
012,rooks_191120_chi_det_white.mov,00:00:15;02,00:00:16;16
013,rooks_191105_chi_lal_white.mov,00:00:16;16,00:00:17;00
014,rooks_191202_chi_sac_white.mov,00:00:17;00,00:00:18;06
015,rooks_191117_chi_mil_white.mov,00:00:18;06,00:00:19;28
016,rooks_191206_chi_gsw_white.mov,00:00:19;28,00:00:21;16
017,rooks_191206_chi_gsw_white.mov,00:00:21;16,00:00:22;14
018,rooks_191206_chi_gsw_white.mov,00:00:22;14,00:00:23;16
019,rooks_191206_chi_gsw_white.mov,00:00:23;16,00:00:26;20
020,rooks_191110_nyk_cle_rj.mov,00:00:26;20,00:00:27;22
021,rooks_191110_nyk_cle_rj.mov,00:00:27;22,00:00:28;24
022,rooks_191129_phi_nyk_rj.mov,00:00:28;24,00:00:31;14
023,rooks_191114_nyk_dal_rj.mov,00:00:31;14,00:00:33;22
024,rooks_191114_nyk_dal_rj.mov,00:00:33;22,00:00:36;00
025,rooks_191114_nyk_dal_rj.mov,00:00:36;00,00:00:37;06
026,rooks_191127_mem_lac.mov,00:00:37;06,00:00:38;10
027,rooks_191127_mem_lac.mov,00:00:38;10,00:00:40;00
028,rooks_ja_dribbles.mov,00:00:40;00,00:00:42;12
029,rooks_191113_mem_cha_ja.mov,00:00:42;12,00:00:44;04
030,rooks_ja_missed_dunk_122119.mov,00:00:44;04,00:00:46;20
031,rooks_191211_mem_pho_ja.mov,00:00:46;20,00:00:49;06
032,rooks_191211_mem_pho_ja.mov,00:00:49;06,00:00:50;16
033,rooks_191211_mem_pho_ja.mov,00:00:50;16,00:00:54;27
034,OPEN December REVISION MIXED WITH GRAPHICS.mpeg,00:00:54;27,00:01:11;02
035,rooks_pelicans_maedia_day_BTS_100219.mov,00:01:11;02,00:01:12;09
036,rooks_pelicans_maedia_day_BTS_100219.mov,00:01:12;09,00:01:14;11
037,Clip0236.MXF,00:01:14;11,00:01:19;01
038,Clip0223.MXF,00:01:19;01,00:01:19;28
039,Clip0223.MXF,00:01:19;28,00:01:20;24
040,Clip0223.MXF,00:01:20;24,00:01:21;21
041,Clip0227.MXF,00:01:21;21,00:01:26;26
042,Clip0246.MXF,00:01:26;26,00:01:32;26
043,Clip0240.MXF,00:01:32;26,00:01:37;21
044,Clip0245.MXF,00:01:37;21,00:01:45;23
045,Clip0249.MXF,00:01:45;23,00:01:50;17
046,Clip0246.MXF,00:01:50;17,00:02:00;17
047,Clip0246.MXF,00:02:00;17,00:02:04;03
048,Clip0230.MXF,00:02:04;03,00:02:07;17
049,Clip0224.MXF,00:02:07;17,00:02:11;09
050,Clip0249.MXF,00:02:11;09,00:02:30;21
051,Clip0250.MXF,00:02:30;21,00:02:34;01
052,Clip0251.MXF,00:02:34;01,00:02:35;14
053,zion_ig_story_xbox_1.MP4,00:02:35;14,00:02:39;17
054,Clip0251.MXF,00:02:39;17,00:02:42;01
055,zion_ig_story_xbox_2.MP4,00:02:42;01,00:02:45;17
