event_number,clip_name,start,end
001,ESPN_E_App_Logo_Reveal_sfx_1080_23.98fps.mov,00:00:00;00,00:00:04;02
002,Rooks Episode 8 FINAL VO Stem_15.wav,00:00:00;00,00:11:39;00
003,Rooks Episode 8 FINAL Dia Stem_15.wav,00:00:00;00,00:11:39;00
004,MVI_0102.MP4,00:00:04;02,00:00:06;03
005,MVI_0089.MP4,00:00:06;03,00:00:18;20
006,MVI_0088.MP4,00:00:18;20,00:00:20;27
007,MVI_0089.MP4,00:00:20;27,00:00:23;15
008,MVI_0095.MP4,00:00:23;15,00:00:25;16
009,MVI_0089.MP4,00:00:25;16,00:00:30;27
010,MVI_0089.MP4,00:00:30;27,00:00:34;19
011,NBA ROOKS_Intro_v02_92319.mov,00:00:34;19,00:00:50;18
012,938993 rj barrett knicks vegas dinner.mov,00:00:50;18,00:00:54;14
013,938993 rj barrett knicks vegas dinner.mov,00:00:54;14,00:00:56;27
014,938993 rj barrett knicks vegas dinner.mov,00:00:56;27,00:01:00;21
015,938993 rj barrett knicks vegas dinner.mov,00:01:00;21,00:01:02;03
016,938993 rj barrett knicks vegas dinner.mov,00:01:02;03,00:01:07;11
017,938993 rj barrett knicks vegas dinner.mov,00:01:07;11,00:01:10;08
018,938993 rj barrett knicks vegas dinner.mov,00:01:10;08,00:01:12;26
019,938993 rj barrett knicks vegas dinner.mov,00:01:12;26,00:01:16;01
020,938993 rj barrett knicks vegas dinner.mov,00:01:16;01,00:01:25;26
021,938993 rj barrett knicks vegas dinner.mov,00:01:25;26,00:01:28;08
022,938993 rj barrett knicks vegas dinner.mov,00:01:28;08,00:01:31;23
023,938993 rj barrett knicks vegas dinner.mov,00:01:31;23,00:01:36;11
024,938993 rj barrett knicks vegas dinner.mov,00:01:36;11,00:01:38;10
025,938993 rj barrett knicks vegas dinner.mov,00:01:38;10,00:01:43;11
026,938993 rj barrett knicks vegas dinner.mov,00:01:43;11,00:01:44;07
027,938993 rj barrett knicks vegas dinner.mov,00:01:44;07,00:01:54;25
028,938993 rj barrett knicks vegas dinner.mov,00:01:54;25,00:01:57;07
029,938993 rj barrett knicks vegas dinner.mov,00:01:57;07,00:02:00;27
030,938993 rj barrett knicks vegas dinner.mov,00:02:00;27,00:02:04;08
031,938993 rj barrett knicks vegas dinner.mov,00:02:04;08,00:02:07;29
032,938993 rj barrett knicks vegas dinner.mov,00:02:07;29,00:02:10;27
033,rooks_msg_scenics_103119.mov,00:02:10;27,00:02:17;17
034,rooks_knicks_msg_broll_110419.mov,00:02:17;17,00:02:18;17
035,rooks_knicks_fans_2.mov,00:02:18;17,00:02:20;14
036,rooks_knicks_fans_2.mov,00:02:20;14,00:02:22;29
037,938993 rj barrett knicks vegas dinner.mov,00:02:22;29,00:02:26;19
038,938993 rj barrett knicks vegas dinner.mov,00:02:26;19,00:02:28;16
039,938993 rj barrett knicks vegas dinner.mov,00:02:28;16,00:02:34;06
040,938993 rj barrett knicks vegas dinner.mov,00:02:34;06,00:02:38;21
041,938993 rj barrett knicks vegas dinner.mov,00:02:38;21,00:02:40;26
042,938993 rj barrett knicks vegas dinner.mov,00:02:40;26,00:02:42;19
043,938993 rj barrett knicks vegas dinner.mov,00:02:42;19,00:02:46;04
044,938993 rj barrett knicks vegas dinner.mov,00:02:46;04,00:02:47;29
045,938993 rj barrett knicks vegas dinner.mov,00:02:47;29,00:02:51;27
046,938993 rj barrett knicks vegas dinner.mov,00:02:51;27,00:02:55;29
047,938993 rj barrett knicks vegas dinner.mov,00:02:55;29,00:02:57;09
048,MVI_0384.MP4,00:02:57;09,00:03:00;05
049,rooks_938581_rjbarrett_intv.mov,00:03:00;05,00:03:02;10
050,phantom_selects_CHI_NYK_broll_pt1_102919.mov,00:03:02;10,00:03:09;26
051,MVI_0391.MP4,00:03:09;26,00:03:13;17
052,rooks_knicks_msg_broll_110419.mov,00:03:13;17,00:03:17;22
053,MVI_0439.MP4,00:03:17;22,00:03:24;08
054,MVI_0429.MP4,00:03:24;08,00:03:27;18
055,MVI_0436.MP4,00:03:27;18,00:03:29;09
056,rooks_BOS_NYK_phantom_broll_pt1_102619.mov,00:03:29;09,00:03:33;17
057,MVI_0437.MP4,00:03:33;17,00:03:35;07
058,MVI_0462.MP4,00:03:35;07,00:03:37;27
059,rooks_BOS_NYK_phantom_broll_pt1_102619.mov,00:03:37;27,00:03:48;29
060,MVI_0457.MP4,00:03:48;29,00:03:53;05
061,rooks_BOS_NYK_phantom_broll_pt1_102619.mov,00:03:53;05,00:03:56;08
062,MVI_1479.MP4,00:03:56;08,00:04:01;20
063,MVI_1480.MP4,00:04:01;20,00:04:05;28
064,MVI_1454.MP4,00:04:05;28,00:04:10;21
065,MVI_1425.MP4,00:04:10;21,00:04:14;11
066,MVI_1495.MP4,00:04:14;11,00:04:20;03
067,MVI_1490.MP4,00:04:20;03,00:04:24;17
068,MVI_1486.MP4,00:04:24;17,00:04:27;23
069,MVI_1480.MP4,00:04:27;23,00:04:36;18
070,rooks_DAL_NOP_more_zion_103119.mov,00:04:36;18,00:04:37;21
071,rooks_DAL_NOP_more_zion_103119.mov,00:04:37;21,00:04:41;24
072,MVI_1481.MP4,00:04:41;24,00:04:45;28
073,MVI_1497.MP4,00:04:45;28,00:04:54;21
074,rooks_dal_v_nop_wired_melt_102519.mxf,00:04:54;21,00:04:57;24
075,rooks_DAL_NOP_pt1_102519.mov,00:04:57;24,00:05:04;18
076,rooks_dal_v_nop_wired_melt_102519.mxf,00:05:04;18,00:05:06;23
077,rooks_DAL_NOP_pt2_102519.mov,00:05:06;23,00:05:09;16
078,MVI_1515.MP4,00:05:09;16,00:05:12;16
079,MVI_1521.MP4,00:05:12;16,00:05:21;02
080,MVI_1522.MP4,00:05:21;02,00:05:22;17
081,MVI_1526.MP4,00:05:22;17,00:05:31;10
082,MVI_1540.MP4,00:05:31;10,00:05:34;12
083,MVI_1534.MP4,00:05:34;12,00:05:39;14
084,rooks_NOP_practice_BTS_100619.mov,00:05:39;14,00:05:42;27
085,rooks_NOP_practice_BTS_100619.mov,00:05:42;27,00:05:45;22
086,rooks_NOP_practice_BTS_100619.mov,00:05:45;22,00:05:48;25
