composers,in-tc,index,out-tc,publishers,timing,title
Adam John Salkeld PRS 50% Neil Pollard PRS 50%,00;01;00;13,0,00;01;00;13,Chappell Recorded Music Library Ltd PRS 100%,0,Heavy Hitter
Helen Gocher ASCAP 100%,00;01;24;09,1,00;01;24;09,"Chesky Productions, Inc. ASCAP 100%",0,Funk Forward
Larry Griffin Jr ASCAP 50% Skinny Williams BMI 50%,00;02;56;17,2,00;02;56;17,First Digital Music BMI 50% ZFC Music ASCAP 50%,0,Side To Side
Alexis Cortes SACEM 7.5% Kevin Blanc SACEM 85% Wilfried Cortes SACEM 7.5%,00;02;56;17,3,00;02;56;17,Grand Music Society SACEM 100%,0,Turn On The Lights
Alexis Cortes SACEM 25% Kevin Blanc SACEM 50% Wilfried Cortes SACEM 25%,00;02;56;17,4,00;05;03;44,Grand Music Society SACEM 100%,0,Electrosound
Edd Charmant IMRO 100%,00;05;07;34,5,00;05;34;22,Chas And Jenny Music BMI 75% soulplusmind BMI 25%,0,Silence_Imagine_Short_edit
Emanuel Kallins BMI 50% Stephen Teller BMI 50%,00;05;56;28,6,00;06;25;06,First Digital Music BMI 100%,0,Tension Rods
Jack Seven PRS 100%,00;06;29;31,7,00;06;58;06,Freshworx Music Limited PRS 100%,0,After the Apocalypse
Brian Flores ASCAP 22.22% John Hunter Jr ASCAP 22.22% Jonathan Slott ASCAP 22.22% Jonathan Still ASCAP 33.34%,00;07;39;24,8,00;08;03;37,ZFC Music SESAC 100%,0,Delux
Kamal David Kamruddin PRS 100%,00;08;10;06,9,00;08;39;33,ZFC Music SESAC 100%,0,Flow Motion
Andy Hopkins PRS 75% Dean Mahoney PRS 25%,00;08;43;06,10,00;09;20;52,True Stories PRS 100%,0,Against the Clock
Edd Charmant IMRO 100%,00;09;24;42,11,00;10;19;11,Chas And Jenny Music BMI 75% soulplusmind BMI 25%,0,Silence_Imagine_Short_edit
